godzina,id
16,40534
7,35613
7,40540
8,40542
14,40651
16,40555
10,40544
12,40550
18,40560
19,40561
22,40571
0,40573
9,40583
11,40590
12,40594
22,40626
20,40564
20,40565
20,40566
20,40567
20,40568
14,40607
15,40610
12,40596
16,40611
16,40613
20,40620
15,35768
21,40624
8,40635
22,40627
12,40646
16,40653
8,40668
16,50655
14,40650
12,40676
13,40687
21,42633
21,40713
7,40722
10,38310
10,40736
14,40751
9,34549
15,40763
9,2012380
16,40767
22,40990
17,40776
9,40859
19,40793
12,50978
18,40785
18,40789
21,40804
12,47710
11,40819
11,40820
18,40839
17,40837
16,40833
20,40844
23,40848
9,40857
13,40931
3,40852
19,40868
20,40900
15,40894
13,40885
13,40883
14,48860
3,50678
4,40908
11,50324
12,40882
10,40925
12,40928
10,40922
9,40915
8,40914
14,40936
13,40932
13,40935
14,40942
14,40939
19,40948
20,42626
7,38305
13,40955
8,50963
12,42677
23,56157
10,40956
19,40950
15,40966
20,54192
15,40970
17,2552
2,41127
17,40975
14,40957
18,43204
15,47117
17,40977
10,41157
20,40986
21,40989
20,56109
19,40985
16,50999
23,42724
9,2009161
7,41004
7,41010
11,41032
20,42627
8,41014
10,41020
9,41018
11,41027
10,41024
14,41059
14,41058
14,41069
14,41060
16,41084
18,41095
12,41331
0,41118
19,41099
18,41098
1,41120
21,41113
8,43453
20,41105
1,41123
9,2012381
10,2009163
14,42438
1,41124
6,41131
19,41100
11,41159
9,41144
12,42884
19,42901
10,41151
10,41153
8,41141
10,41156
12,43596
10,2193
11,41160
13,41168
15,41379
0,47145
10,41154
16,41401
14,41173
19,38514
15,41380
15,41381
12,35824
8,41267
20,41203
20,41205
0,41217
20,41204
3,41219
2,41218
5,41222
7,41245
7,41241
8,41252
8,41251
14,41358
8,41255
8,41256
14,41366
8,41258
14,41594
8,41270
8,41268
9,41276
6,37934
9,41279
9,41283
20,56108
8,41263
10,41295
10,41297
10,41299
10,41302
11,41304
9,41289
14,41368
9,41288
11,41306
12,41327
11,41310
19,41433
6,42099
11,41318
11,41313
20,35846
11,41309
11,41314
12,41330
10,2009166
13,41335
15,35942
8,37406
20,56112
11,48608
21,35976
14,41373
16,41395
17,41411
14,42440
17,41404
17,41403
18,41415
17,41405
12,41497
19,41426
19,43218
18,41422
16,42814
18,41425
20,41442
20,41441
20,41443
14,2036692
21,41451
22,43234
8,42918
22,41455
1,41461
21,41453
7,41476
5,41465
5,41466
8,41482
8,41483
11,41496
7,41734
10,41486
12,41503
10,41490
15,36016
8,41480
5,43327
10,41489
12,41500
12,41498
14,41513
10,41578
15,41516
17,41526
17,41529
19,41538
19,41617
3,41858
7,42504
23,41552
5,41561
5,41562
7,41564
11,41583
10,41580
15,41600
10,41581
22,2009232
16,41603
14,41596
1,41626
12,50326
20,41619
21,41621
1,41628
19,38485
13,34923
2,41723
16,41658
15,41654
15,41656
16,41659
16,41660
16,41657
12,41764
20,41668
19,41665
21,41671
22,41675
22,41676
8,41738
23,41680
23,41686
23,41688
3,41724
15,35553
19,35807
23,41679
14,41785
10,41754
11,50628
23,41691
0,41704
1,41712
4,41726
8,41741
16,54259
3,41725
10,41751
15,43495
11,41757
12,41763
10,2009168
12,41762
19,41985
10,41752
13,41771
13,41773
15,43550
1,36060
6,42010
11,2009200
14,41787
15,41793
16,41798
16,41802
17,41812
20,41824
1,41852
20,43227
13,41888
20,41829
19,41818
20,41825
21,41843
0,41851
4,41859
6,41867
6,41868
6,41866
8,41873
20,35662
17,41889
12,41915
11,41912
13,41925
19,41984
18,41978
17,42054
23,41998
15,42162
16,6024
21,41992
12,42133
8,42018
11,42030
15,42163
17,42055
16,42051
15,42045
20,36154
11,36187
16,47559
15,42046
11,42034
13,50987
17,42183
20,42071
17,42059
13,50989
7,36203
4,55429
14,47115
21,42080
20,42073
22,42084
23,42089
20,42075
22,42083
13,50988
6,42101
7,42104
23,42087
19,42620
21,42630
7,42103
10,53919
23,42088
9,42112
15,42167
10,42117
12,42130
10,42114
23,55425
13,42146
14,42266
13,42257
1,43906
16,42178
16,42176
17,42182
11,34315
12,42353
17,42281
16,42175
13,45608
18,42191
16,51002
23,51017
20,42201
17,42366
11,42250
10,42246
4,42216
0,42213
6,42219
9,42239
13,42262
10,2009171
10,42244
14,42264
17,42278
3,36219
17,42286
17,42285
17,42282
15,42272
13,44048
18,42290
16,51000
14,53012
14,53010
23,42301
14,42553
21,42297
10,42316
1,42303
21,42335
22,42337
20,38002
0,42302
10,42347
6,42340
17,42365
17,42363
15,42588
18,42369
14,50060
7,42393
8,42400
9,42405
10,42416
8,42401
12,2038552
12,42423
14,42434
15,42447
14,42442
15,42448
14,53011
16,42453
16,42454
10,2009173
14,2036694
5,36679
16,42459
16,42457
19,42473
0,56161
14,41946
19,42472
19,42476
19,42469
20,42478
18,42467
13,42544
13,42547
23,42494
14,42574
8,42511
10,42521
13,42550
14,42555
12,42537
6,36681
12,42536
14,42554
10,36688
0,56160
19,32013
18,42609
23,56155
3,56169
5,56173
10,42662
15,42806
15,42695
12,42676
12,42674
0,54284
16,54257
15,54249
17,42826
15,54250
11,42766
13,42683
13,42684
14,42689
0,45479
15,42696
11,47682
16,42698
20,54276
12,54228
17,51004
21,42716
8,50962
21,42719
6,42735
1,42728
7,42738
2,42729
8,42747
9,42753
14,54831
11,42765
20,55418
8,42650
9,42755
13,42783
17,51005
20,55416
22,2005815
7,42866
10,36689
16,42818
13,847
18,45630
16,47125
19,42836
7,42865
12,42883
23,45476
20,42842
15,36700
18,51007
20,51014
20,42843
11,42878
16,44168
12,42885
12,42881
14,55958
15,42893
19,42903
19,42904
2,45481
19,51010
23,51018
21,42909
17,42899
15,42891
11,42923
15,55049
12,42931
17,42938
0,49580
12,42930
12,2042284
17,42940
15,42936
17,42939
20,51013
20,42947
19,42943
17,42993
19,42942
10,42972
20,51015
12,2038553
23,42958
13,42981
15,42988
20,43004
21,51016
9,43127
17,42992
21,43008
19,43001
20,44184
8,43037
14,43067
14,43167
9,43043
6,43107
11,47459
14,43166
0,43098
21,43092
21,43093
9,39074
4,43103
5,43104
14,2038577
2,50950
8,44015
6,43106
8,43114
8,43116
9,43125
22,43320
9,43124
10,2009176
9,43130
12,43146
12,43152
17,43292
13,43159
10,47675
14,43177
15,41184
17,43201
17,43202
15,2054046
18,43216
3,43243
16,43194
14,43281
23,43240
23,43241
11,43261
10,43252
11,43263
13,50901
16,43285
18,2553
5,43328
22,43316
11,43264
13,43272
19,54071
14,54159
12,43270
12,43265
1,30766
13,43480
15,43283
9,27292
19,43302
14,45029
10,51347
19,43301
18,43295
6,46939
22,43315
0,43432
8,43329
9,43332
9,43336
10,43338
10,2009177
11,43347
11,43351
2,43908
11,43349
10,43344
13,43369
4,5974
14,43377
22,53028
9,39971
18,45282
10,51348
17,43407
22,53029
19,42623
16,43400
17,43405
21,53026
14,43484
16,43397
15,43394
17,48213
22,2010873
14,2036696
9,51033
20,43425
15,43498
10,43459
7,6053
7,43443
8,43456
10,43463
10,43461
13,43476
13,43478
13,43479
14,43485
13,43481
22,43431
3,43520
15,43970
17,43504
18,43507
20,43512
17,43505
22,43517
9,56199
10,2009179
9,43529
12,43542
15,43552
15,43601
12,43539
12,43540
21,34439
10,43753
1,43576
2,43577
21,44246
10,43588
10,43590
7,51025
13,43598
22,43630
16,54169
10,43659
9,46650
11,43661
9,2054386
9,2054629
10,43657
13,43675
22,53030
10,43658
11,43668
14,43684
11,51353
19,43711
4,43731
9,43745
14,44210
5,43733
10,43754
19,45464
13,43801
14,43815
13,43791
14,2036697
9,39463
14,43827
11,44347
14,43829
16,43848
11,47688
14,45156
17,43862
9,2012379
23,43901
19,43884
17,41528
16,39702
23,43902
8,43918
4,43910
8,43919
21,35013
14,43966
9,43929
14,43960
21,44004
1,44012
11,43936
14,43962
8,45487
10,2009181
14,43968
13,43958
17,43983
19,43996
10,44020
12,44027
9,56212
17,44083
2,48011
6,2009473
21,44248
15,44066
16,35330
18,44099
7,44124
12,42542
10,44145
1,44259
10,44143
11,44153
10,44140
17,35230
17,44172
20,44183
10,46260
8,48022
13,44368
11,44200
19,42471
14,44206
14,44208
14,44203
14,44207
16,44226
21,44252
17,44231
16,44219
21,44247
21,44251
18,44236
13,44279
7,44268
17,43402
11,44275
18,56067
15,44748
4,44261
19,44301
21,44309
11,44351
10,31615
13,44365
16,44290
12,44352
14,6487
11,41163
21,39210
10,49497
18,44300
21,44306
8,44328
8,44329
10,44346
11,41164
11,44348
13,44362
12,44357
14,44904
13,44364
12,44359
12,44355
13,44366
16,51001
13,44370
16,44390
12,44845
13,44372
16,44391
19,44405
18,44402
17,44395
19,44409
1,44422
23,44419
20,44410
6,44433
7,44437
22,44418
21,35866
6,44431
10,44443
16,44508
10,44441
12,44465
12,44467
14,44591
8,44561
19,44526
21,44872
9,45008
10,44887
11,29369
10,44888
9,45010
22,44978
11,45095
14,45152
16,45173
6,49487
4,49485
11,49499
9,49496
13,49505
17,49517
20,45470
14,39312
20,30169
12,2009658
17,49520
7,49539
19,49569
20,49575
20,49577
17,49560
10,45951
8,49256
10,51041
8,49409
11,2012390
9,49544
19,48660
10,2092172
6,49587
12,45866
11,51044
16,45174
21,48362
18,49567
9,53044
12,46176
8,53042
10,2009184
17,48714
7,45933
11,33573
18,33449
11,46105
23,43518
15,44499
22,49223
9,45943
12,50982
21,47320
22,51142
13,44360
0,48009
15,45778
14,41942
9,40815
8,37566
10,42523
15,50822
6,48908
12,49431
13,51047
16,51055
23,35977
15,42694
20,49034
20,48783
10,45589
19,44302
0,44313
14,49101
13,47954
9,49066
3,44553
10,44144
7,46145
15,49450
17,56048
22,45724
15,46498
20,39442
8,2053869
8,45580
16,42597
11,49428
18,51062
23,48007
16,45703
12,56233
16,43502
19,38076
17,35269
12,45494
14,45617
9,48582
11,38832
11,49611
0,43727
14,44051
19,39752
17,45366
10,43464
18,44403
8,45734
7,43634
14,54466
14,2010137
14,39888
17,44228
11,43466
12,45977
10,49604
14,51050
18,36173
14,41068
13,2008260
13,2008490
14,2038677
13,43677
5,44797
10,55293
18,43866
23,45563
15,56001
6,51075
13,43546
7,41136
18,2036728
2,42855
12,49293
13,45611
10,48832
16,46973
20,44529
13,44948
4,46934
10,41296
18,40841
14,44161
20,51065
7,48911
22,51068
11,37510
19,51063
10,49602
15,51052
6,49937
23,42957
18,51060
12,35569
15,51051
11,53059
8,50612
13,37584
16,48194
21,51067
12,46109
11,2012392
10,2009187
16,45705
10,42408
11,45671
15,45999
11,49613
15,45621
5,44429
16,45446
14,47737
15,54492
18,45375
16,35404
13,48622
10,44444
11,51266
13,49813
21,44310
15,49340
12,49621
16,46783
5,45221
11,48835
12,49625
10,41886
20,47899
6,33111
10,40587
20,49035
16,39285
8,35616
13,48855
14,44905
9,51083
14,42436
12,45759
15,43690
16,49694
12,48324
23,51308
18,40559
8,49756
5,44430
20,47137
17,49707
9,41148
14,49675
8,44818
14,2036700
11,35428
15,41186
21,47900
4,48366
5,49732
15,43388
4,43730
2,49731
9,46160
12,51358
13,31623
9,2013083
16,44289
16,38677
15,42805
8,51082
8,51080
22,49726
17,30406
10,48316
16,43500
14,2036701
19,38384
11,45751
7,48567
9,41286
1,43433
15,39921
15,50646
12,51359
12,49626
13,41774
15,50219
10,2009189
11,2012393
8,42311
10,45667
23,44189
8,42870
9,46641
15,45900
16,44915
12,45101
17,40340
8,46250
10,46099
10,49774
9,41281
14,40035
14,44851
18,44631
8,47350
16,45175
10,2009191
13,40749
9,51538
12,49886
15,47256
20,49037
13,47490
13,53787
14,48865
16,43607
13,2003831
7,2037437
23,2003852
15,23141
12,37880
7,2037781
14,50640
17,46911
20,38225
10,2009192
12,2038556
18,42292
0,30367
14,2036702
21,48358
12,55308
5,31039
15,40759
11,55299
19,48779
14,33430
10,2009193
8,44689
12,35263
6,35380
4,36890
15,37704
18,38211
15,49898
11,38313
12,38750
12,39305
17,2775
11,39694
9,54612
7,39766
21,39842
9,40070
13,40194
11,2012395
22,40258
16,40332
20,40458
21,55346
11,48319
3,40466
9,40480
23,40629
4,40632
11,40642
2,40667
9,40814
12,40822
5,40853
21,40902
2,40993
11,41030
1,41119
8,41264
8,41269
19,41428
9,41278
12,41329
14,41364
8,41481
11,47461
20,44531
15,41795
21,41840
1,41854
3,41857
21,41900
10,2009196
9,41903
11,41904
14,41906
13,41924
15,41950
4,42006
13,42041
15,42160
10,2009194
21,42203
7,42308
10,42318
14,41780
6,47069
20,42482
21,42489
7,42506
14,42567
23,44115
9,42658
8,51424
14,50726
8,43034
22,43428
8,43639
8,43643
11,43667
17,43698
9,49984
10,43752
11,43756
12,43789
11,55303
19,43881
20,43889
12,44471
10,43935
14,44059
6,44122
11,44150
11,44151
15,44218
17,50090
13,44371
14,44375
12,49803
21,36765
7,44438
20,44527
11,44574
15,44605
17,45550
13,44476
20,49844
12,51224
19,48243
10,41574
10,51263
21,38411
11,2012396
15,49825
10,51086
18,43870
10,2009195
14,2010139
7,51325
10,54812
14,37701
11,49792
17,44173
16,42361
22,49850
10,44708
8,49954
14,42983
11,49793
7,39718
19,50191
18,41608
14,46194
12,45976
13,42680
15,49821
14,47386
14,49817
19,50363
14,50728
22,49852
14,44282
17,45626
10,36693
15,49822
22,49851
17,49832
17,2036716
11,2038342
6,41232
7,43111
12,30209
23,41694
12,51096
14,53793
13,53788
18,34247
8,34596
22,51411
13,34855
19,45638
9,48822
11,35959
21,45206
20,5694
13,45496
8,49863
13,36399
19,42293
19,51394
12,2038558
0,34104
21,49724
1,42727
8,40169
14,50218
21,42910
21,43310
11,49876
8,40168
14,49895
15,49897
15,49902
15,44756
17,44866
23,43723
14,48337
15,44497
16,53082
11,49877
0,43018
11,36727
18,40288
15,50069
13,49892
22,49929
11,47680
12,49882
11,50007
16,36050
9,49969
6,30372
15,43841
7,45520
13,49506
11,49283
20,45053
9,38496
20,51134
17,43984
23,44931
7,49946
21,42954
9,40072
16,51113
18,49919
18,51462
22,38520
19,51128
15,51110
13,33064
22,43012
17,51119
13,51100
11,35534
19,45284
10,45240
19,49924
14,51104
20,51131
6,51146
11,50000
15,51109
17,53087
19,50227
18,51124
11,2009198
18,51126
8,6857
19,43875
20,51132
9,33561
9,51155
20,40455
11,16828
12,50011
12,50013
12,50012
12,50017
15,50071
10,2097633
9,2101445
17,50181
12,50023
6,50135
13,50033
14,50054
10,51198
13,44903
14,42268
17,50092
11,46341
18,45912
12,50242
14,45772
15,35989
18,50101
13,50027
13,50040
1,50130
6,50133
19,50107
4,41861
15,50731
12,51159
8,50144
19,45465
10,49071
8,41568
6,50136
20,50112
18,50184
12,38670
22,53124
23,51183
10,50149
13,49440
13,45343
14,50177
13,50171
10,50154
14,50173
10,41575
19,43997
7,53156
13,46887
20,32587
11,50161
14,50174
9,31535
14,40962
5,53148
12,2133162
8,2101795
9,39823
21,51181
10,51200
19,50939
0,50195
14,41511
11,50165
6,33113
15,44496
20,41826
14,50175
10,50235
11,50321
19,38242
12,51158
10,2009178
13,42888
13,51163
10,50208
19,50226
11,50214
21,40005
6,50200
7,50286
23,36798
18,50266
9,50301
14,50248
20,50275
13,50245
8,50290
20,50273
1,50279
10,38794
7,50282
17,50265
20,46818
16,50258
19,45466
9,50293
13,44039
8,41143
22,42382
3,51188
15,36816
21,50276
7,51192
9,50302
13,42548
9,50296
9,46680
18,51176
13,51166
12,53211
22,47142
13,51164
20,50374
16,2836
10,34600
10,41021
16,49010
19,51177
0,49050
2,51187
18,47291
10,50307
14,41172
11,50320
13,42432
20,50369
13,51366
11,2012399
9,33563
13,50336
1,51186
16,51172
7,2881
19,45467
18,44233
13,50337
19,44523
16,50263
10,51199
14,48633
21,39293
8,51195
18,43560
11,43533
13,51367
14,50342
17,50352
6,51191
16,42275
9,46162
7,39849
18,38858
18,50361
7,50393
21,50375
21,50376
23,29708
17,51116
7,50389
21,44532
8,50398
9,51221
7,50390
11,47367
17,46978
10,48939
11,51202
17,51207
21,48004
9,47928
8,50399
13,51743
0,44982
16,50446
14,47735
19,51212
10,50412
20,51217
11,26469
12,2009201
13,6130
11,2012400
17,2036708
11,47463
9,51256
19,50457
7,37971
8,46855
16,45266
8,50395
16,46782
14,40862
19,50461
12,2009202
17,2036707
14,42156
5,51249
21,50471
13,2009397
4,51248
22,51247
14,51235
11,51737
7,33118
12,33918
13,50428
17,49017
6,51250
13,50426
22,43096
12,50424
14,54158
13,51741
8,41261
13,51232
17,47825
3,44795
15,50438
17,30147
18,53101
9,31648
11,2012401
12,2009203
14,45613
15,50538
8,50479
9,37570
13,45025
13,37849
6,47150
15,44747
7,39339
7,51253
14,2010141
12,2009204
10,50490
12,50508
11,50502
14,50526
12,50510
0,44981
21,50588
20,40451
19,53285
14,40196
17,50554
12,50516
13,50520
7,46997
19,53497
18,39995
11,45529
14,50525
15,50527
15,50528
16,40200
16,43501
8,51254
18,50564
22,42492
20,49578
9,45312
19,29616
9,51257
9,39124
17,2036710
13,45612
14,3160
6,50602
21,50587
20,39593
8,29642
22,50591
10,45425
23,44675
9,50616
9,51259
10,36165
14,51373
14,38966
7,42737
10,53924
13,47112
20,49574
16,45901
11,48692
12,47106
11,2012403
12,45758
13,32624
10,50623
10,50625
10,50622
19,50747
6,38983
8,38992
19,53106
20,53110
18,51461
10,32219
7,45654
21,48003
19,53107
14,39614
19,39707
14,43376
19,46983
10,32751
8,33122
17,42823
1,41122
6,51479
20,49210
13,34071
19,34803
19,35861
15,50650
20,51398
9,51429
19,36086
7,40472
16,44505
18,51392
18,51390
12,35264
15,51381
13,47380
15,51382
19,53584
19,51467
1,41713
20,51401
14,51376
21,51407
18,51388
14,51377
15,51378
7,51421
14,38439
7,51419
20,51402
12,2009205
11,46329
18,51393
8,50761
11,51858
12,50025
11,40487
12,55139
15,51456
7,46845
15,38347
0,51220
9,50767
19,40659
18,43559
11,2103055
6,2108483
8,2108596
8,2103447
11,47366
20,51403
9,41879
15,37540
8,51422
9,51428
7,51420
9,51434
11,38929
9,45421
18,38222
1,46134
9,48030
13,43955
7,40911
11,40880
22,41548
11,41322
13,50430
16,41397
7,38414
10,42115
13,32871
13,51448
12,51444
19,51469
22,51770
23,44257
20,42197
13,42321
14,39786
19,51464
0,51474
10,51492
10,51490
19,51468
9,51435
19,51470
22,51473
20,53113
15,44750
23,47326
16,39990
4,51476
8,51481
11,47095
20,53116
8,37504
1,43323
20,35507
14,48137
0,46991
13,49551
11,48604
11,51496
11,51354
15,48475
3,40185
16,52886
17,2036712
12,2038562
10,49601
22,51768
18,47287
14,40953
13,51499
13,53217
12,2009206
11,2012405
14,2010144
11,45672
21,53120
20,51523
15,51516
18,51522
16,44857
21,51526
0,29812
18,48889
21,51764
22,43235
10,38538
11,2012406
12,2009208
17,45273
14,32519
4,53144
20,31131
19,43088
10,32124
10,32125
12,2009207
17,32247
19,39261
12,55148
13,36188
7,51323
17,32371
11,53951
12,53369
13,32515
9,2109297
14,32521
17,32762
9,32774
1,33030
5,33397
7,33555
14,46892
14,33627
19,33848
13,33925
7,36244
21,34191
15,34379
21,35207
12,53619
10,35219
15,35473
12,2012407
23,35584
9,42967
20,35720
16,35965
2,51773
23,51771
1,52039
17,52627
15,49691
22,53126
6,53151
4,53141
6,53150
12,2009209
9,47930
12,53621
3,53135
15,49689
4,53760
16,50830
12,45980
14,47734
14,50643
12,42354
14,48635
16,44613
17,44512
12,2012409
12,2009211
9,45422
12,45248
11,53196
10,47677
17,2075406
15,47869
14,45256
13,30287
0,30433
9,50873
17,49703
16,55053
13,30838
19,55062
15,55046
19,55063
20,48664
6,4212
0,46091
16,55051
6,44805
8,53166
17,55054
19,44408
13,51688
17,55055
18,55061
10,53189
18,53099
17,51294
20,53117
15,52873
9,46252
10,46865
15,46972
12,53991
22,48727
8,51081
16,44958
20,47306
10,53184
18,55060
7,46305
12,2009210
10,48829
10,42407
21,43892
19,49365
20,47304
7,46307
12,53208
9,53177
2,55077
11,46169
10,53778
3,36218
17,2036715
22,2009212
13,46180
9,49963
17,55056
14,53469
20,39328
11,52291
9,48027
12,50717
9,55092
10,49605
1,55076
4,55079
11,47702
13,53215
12,2012408
7,48733
10,55094
17,51756
22,55070
14,53472
7,49253
16,53853
8,48578
16,32686
9,47086
9,50304
17,42280
1,37861
10,35393
15,53797
1,51143
18,45182
19,47891
15,51966
18,52008
15,49555
0,52034
13,50899
10,45666
12,45115
11,52198
4,33873
11,30067
12,11770
7,2107717
17,34240
18,34795
14,48862
4,50854
15,50644
18,51566
18,51565
14,2050902
9,50701
21,51573
5,37622
18,51562
0,51577
9,51637
3,51632
12,51603
21,51627
15,51647
8,51667
12,46731
14,53842
5,41865
23,52741
7,52764
3,48905
14,35838
19,36852
11,51676
14,46889
11,39731
9,51730
23,51724
13,48619
21,39963
13,48092
8,50759
15,47961
10,32776
12,2012410
15,44606
16,32450
17,32452
6,37397
16,37495
10,45743
16,39033
21,50674
14,53474
18,36118
19,47132
22,41549
14,41779
9,42238
11,42527
9,44699
16,54045
13,45763
13,51046
3,45407
20,54090
7,54120
0,43726
9,39076
23,54110
1,42003
15,46276
9,51487
10,53179
15,47536
15,53480
11,53193
14,48140
14,53007
13,49089
14,53470
16,53488
6,38392
22,40905
20,50370
22,2009213
10,49779
23,38523
16,53487
22,50794
6,2036783
9,47924
21,49721
22,42336
21,47903
18,51058
9,41150
10,49780
7,40094
14,53232
14,53230
14,53229
23,47627
7,50285
18,43413
14,53231
14,46449
19,53283
8,53597
19,47300
13,38202
0,47632
11,50714
18,46916
1,53519
18,53496
16,53491
11,47369
18,42061
13,44475
17,53261
11,50975
11,50314
20,53503
20,53504
11,49609
18,46022
17,53493
22,48902
21,53301
11,50323
12,51269
8,41744
10,51344
15,45783
11,48603
6,51319
8,47162
15,44492
14,53241
14,53233
15,53244
18,53581
13,37287
14,53238
22,2009214
7,49856
7,50609
4,38303
4,47909
11,48954
18,42833
21,51246
11,47017
13,47235
21,45203
9,2119029
15,2133323
9,2130006
18,48223
20,47314
22,2009414
12,50632
12,40078
15,53246
16,53254
15,53250
17,50183
16,48653
22,2009216
17,2036718
8,47656
15,39031
6,49734
12,45978
16,53252
21,53295
17,53262
14,53235
16,48651
19,50744
18,53276
12,47101
5,30778
16,47967
13,38800
21,53296
4,53311
10,42411
5,53312
9,53333
21,53506
17,53263
3,53522
18,53279
21,47423
16,53256
17,53259
23,53516
21,53509
5,53526
21,53297
17,53266
14,53242
16,53257
15,53251
8,53330
12,48614
18,42064
8,46156
14,49894
8,48577
22,2036770
4,52962
18,53280
15,39616
11,45530
8,53904
15,53245
16,48492
6,53316
21,38941
9,48586
19,53585
1,53308
12,46368
12,2012412
17,2036719
12,2038564
7,47916
4,20260
11,53359
16,41081
14,42889
8,53327
10,53345
23,41995
16,45265
14,51746
23,45063
10,53348
23,29811
16,47569
15,47260
9,53341
9,53336
13,46751
13,30385
20,53586
17,53573
8,53905
13,49300
13,45349
16,51383
9,53907
7,49244
18,31115
16,47874
23,44254
12,48425
13,53547
0,32416
11,53540
9,32424
11,53538
11,32400
11,53353
12,2012413
19,35580
21,53589
23,49048
8,41871
15,44165
10,53349
13,32677
19,45714
22,39965
9,51537
14,53554
16,3320
1,33031
14,44739
7,43247
10,53535
12,53541
9,53605
16,48204
3,33507
19,34044
15,33520
16,49458
16,53567
9,53913
6,49589
17,33842
14,53556
12,47859
13,53550
17,51755
12,34069
18,53576
12,31659
11,53355
10,47676
9,53604
17,38761
23,2797
9,35746
10,34649
15,53561
18,55244
20,53292
20,43888
22,2009218
14,2010146
14,49672
8,49490
15,42161
12,40153
17,53571
14,35573
9,35872
20,53587
17,2036720
17,2036726
11,46955
18,36022
22,53591
14,36048
8,53598
12,43538
23,36201
22,36214
7,53596
12,2012414
9,53606
11,53360
13,50039
12,48840
18,55236
12,53367
12,32778
9,53608
0,47146
9,53610
20,313
10,53612
9,41284
12,2012415
22,2009221
9,51488
12,2012416
9,36135
12,29568
16,30135
