Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US,Sales_class
7.56,108,26,0,408,93,2,56,14,0,0,MED
13.28,139,70,7,71,96,3,61,10,1,1,HIGH
7.23,112,98,18,481,128,2,45,11,1,1,MED
4.19,117,93,4,420,112,1,66,11,1,1,LOW
4.1,130,28,6,410,133,1,72,16,1,1,LOW
2.52,124,61,0,333,138,2,76,16,1,0,LOW
3.62,112,80,5,500,128,2,69,10,1,1,LOW
6.42,122,88,5,335,126,2,64,14,1,1,MED
5.56,144,92,0,349,146,2,62,12,0,0,LOW
5.94,138,83,0,139,134,2,54,18,1,0,LOW
4.1,121,78,4,413,130,1,46,10,0,1,LOW
2.05,131,82,0,132,157,1,25,14,1,0,LOW
8.74,155,80,0,237,124,2,37,14,1,0,HIGH
5.68,113,22,1,317,132,2,28,12,1,0,LOW
4.97,162,67,0,27,160,2,77,17,1,1,LOW
8.19,111,105,0,466,97,1,61,10,0,0,MED
7.78,86,54,0,497,64,1,33,12,1,0,MED
3.02,98,21,11,326,90,1,76,11,0,1,LOW
4.36,125,41,2,357,123,1,47,14,0,1,LOW
9.39,117,118,14,445,120,2,32,15,1,1,HIGH
12.04,145,69,19,501,105,2,45,11,1,1,HIGH
8.23,149,84,5,220,139,2,33,10,1,1,MED
4.83,115,115,3,48,107,2,73,18,1,1,LOW
2.34,116,83,15,170,144,1,71,11,1,1,LOW
5.73,141,33,0,243,144,2,34,17,1,0,LOW
4.34,106,44,0,481,111,2,70,14,0,0,LOW
9.7,138,61,12,156,120,2,25,14,1,1,HIGH
10.62,116,79,19,359,116,3,58,17,1,1,HIGH
10.59,131,120,15,262,124,2,30,10,1,1,HIGH
6.43,124,44,0,125,107,2,80,11,1,0,MED
7.49,136,119,6,178,145,2,35,13,1,1,MED
3.45,110,45,9,276,125,2,62,14,1,1,LOW
4.1,134,82,0,464,141,2,48,13,0,0,LOW
6.68,107,25,0,412,82,1,36,14,1,0,MED
7.8,119,33,0,245,122,3,56,14,1,0,MED
8.69,113,64,10,68,101,2,57,16,1,1,HIGH
5.4,149,73,13,381,163,1,26,11,0,1,LOW
11.19,98,104,0,404,72,2,27,18,0,0,HIGH
5.16,115,60,0,119,114,1,38,14,0,0,LOW
8.09,132,69,0,123,122,2,27,11,0,0,MED
13.14,137,80,10,24,105,3,61,15,1,1,HIGH
8.65,123,76,18,218,120,2,29,14,0,1,MED
9.43,115,62,11,289,129,3,56,16,0,1,HIGH
5.53,126,32,8,95,132,2,50,17,1,1,LOW
9.32,141,34,16,361,108,2,69,10,1,1,HIGH
9.62,151,28,8,499,135,2,48,10,1,1,HIGH
7.36,121,24,0,200,133,3,73,13,1,0,MED
3.89,123,105,0,149,118,1,62,16,1,1,LOW
10.31,159,80,0,362,121,2,26,18,1,0,HIGH
12.01,136,63,0,160,94,2,38,12,1,0,HIGH
4.68,124,46,0,199,135,2,52,14,0,0,LOW
7.82,124,25,13,87,110,2,57,10,1,1,MED
8.78,130,30,0,391,100,2,26,18,1,0,HIGH
10.0,114,43,0,199,88,3,57,10,0,1,HIGH
6.9,120,56,20,266,90,1,78,18,1,1,MED
5.04,123,114,0,298,151,1,34,16,1,0,LOW
5.36,111,52,0,12,101,2,61,11,1,1,LOW
5.05,125,67,0,86,117,1,65,11,1,0,LOW
9.16,137,105,10,435,156,3,72,14,1,1,HIGH
3.72,139,111,5,310,132,1,62,13,1,1,LOW
8.31,133,97,0,70,117,2,32,16,1,0,MED
5.64,124,24,5,288,122,2,57,12,0,1,LOW
9.58,108,104,23,353,129,3,37,17,1,1,HIGH
7.71,123,81,8,198,81,1,80,15,1,1,MED
4.2,147,40,0,277,144,2,73,10,1,0,LOW
8.67,125,62,14,477,112,2,80,13,1,1,MED
3.47,108,38,0,251,81,1,72,14,0,0,LOW
5.12,123,36,10,467,100,1,74,11,0,1,LOW
7.67,129,117,8,400,101,1,36,10,1,1,MED
5.71,121,42,4,188,118,2,54,15,1,1,LOW
6.37,120,77,15,86,132,2,48,18,1,1,MED
7.77,116,26,6,434,115,2,25,17,1,1,MED
6.95,128,29,5,324,159,3,31,15,1,1,MED
5.31,130,35,10,402,129,1,39,17,1,1,LOW
9.1,128,93,12,343,112,3,73,17,0,1,HIGH
5.83,134,82,7,473,112,1,51,12,0,1,LOW
6.53,123,57,0,66,105,2,39,11,1,0,MED
5.01,159,69,0,438,166,2,46,17,1,0,LOW
11.99,119,26,0,284,89,3,26,10,1,0,HIGH
4.55,111,56,0,504,110,2,62,16,1,0,LOW
12.98,113,33,0,14,63,3,38,12,1,0,HIGH
10.04,116,106,8,244,86,2,58,12,1,1,HIGH
7.22,135,93,2,67,119,2,34,11,1,1,MED
6.67,107,119,11,210,132,2,53,11,1,1,MED
6.93,135,69,14,296,130,2,73,15,1,1,MED
7.8,136,48,12,326,125,2,36,16,1,1,MED
7.22,114,113,2,129,151,3,40,15,0,1,MED
3.42,141,57,13,376,158,2,64,18,1,1,LOW
2.86,121,86,10,496,145,1,51,10,1,1,LOW
11.19,122,69,7,303,105,3,45,16,0,1,HIGH
7.74,150,96,0,80,154,3,61,11,1,0,MED
5.36,135,110,0,112,117,2,80,16,0,0,LOW
6.97,106,46,11,414,96,1,79,17,0,0,MED
7.6,146,26,11,261,131,2,39,10,1,1,MED
7.53,117,118,11,429,113,2,67,18,0,1,MED
6.88,95,44,4,208,72,1,44,17,1,1,MED
6.98,116,40,0,74,97,2,76,15,0,0,MED
8.75,143,77,25,448,156,2,43,17,1,1,HIGH
9.49,107,111,14,400,103,2,41,11,0,1,HIGH
6.64,118,70,0,106,89,1,39,17,1,0,MED
11.82,113,66,16,322,74,3,76,15,1,1,HIGH
11.28,123,84,0,74,89,3,59,10,1,0,HIGH
12.66,148,76,3,126,99,3,60,11,1,1,HIGH
4.21,118,35,14,502,137,2,79,10,0,1,LOW
8.21,127,44,13,160,123,3,63,18,1,1,MED
3.07,118,83,13,276,104,1,75,10,1,1,LOW
10.98,148,63,0,312,130,3,63,15,1,0,HIGH
9.4,135,40,17,497,96,2,54,17,0,1,HIGH
8.57,116,78,1,158,99,2,45,11,1,1,MED
7.41,99,93,0,198,87,2,57,16,1,1,MED
5.28,108,77,13,388,110,1,74,14,1,1,LOW
10.01,133,52,16,290,99,2,43,11,1,1,HIGH
11.93,123,98,12,408,134,3,29,10,1,1,HIGH
8.03,115,29,26,394,132,2,33,13,1,1,MED
4.78,131,32,1,85,133,2,48,12,1,1,LOW
5.9,138,92,0,13,120,1,61,12,1,0,LOW
9.24,126,80,19,436,126,2,52,10,1,1,HIGH
11.18,131,111,13,33,80,1,68,18,1,1,HIGH
9.53,175,65,29,419,166,2,53,12,1,1,HIGH
6.15,146,68,12,328,132,1,51,14,1,1,MED
6.8,137,117,5,337,135,1,38,10,1,1,MED
9.33,103,81,3,491,54,2,66,13,1,0,HIGH
7.72,133,33,10,333,129,3,71,14,1,1,MED
6.39,131,21,8,220,171,3,29,14,1,1,MED
15.63,122,36,5,369,72,3,35,10,1,1,HIGH
6.41,142,30,0,472,136,3,80,15,0,0,MED
10.08,116,72,10,456,130,3,41,14,0,1,HIGH
6.97,127,45,19,459,129,2,57,11,0,1,MED
5.86,136,70,12,171,152,2,44,18,1,1,LOW
7.52,123,39,5,499,98,2,34,15,1,0,MED
9.16,140,50,10,300,139,3,60,15,1,1,HIGH
10.36,107,105,18,428,103,2,34,12,1,1,HIGH
2.66,136,65,4,133,150,1,53,13,1,1,LOW
11.7,144,69,11,131,104,2,47,11,1,1,HIGH
4.69,133,30,0,152,122,2,53,17,1,0,LOW
6.23,112,38,17,316,104,2,80,16,1,1,MED
3.15,117,66,1,65,111,1,55,11,1,1,LOW
11.27,100,54,9,433,89,3,45,12,1,1,HIGH
4.99,122,59,0,501,112,1,32,14,0,0,LOW
10.1,135,63,15,213,134,2,32,10,1,1,HIGH
5.74,106,33,20,354,104,2,61,12,1,1,LOW
5.87,136,60,7,303,147,2,41,10,1,1,LOW
7.63,93,117,9,489,83,1,42,13,1,1,MED
6.18,120,70,15,464,110,2,72,15,1,1,MED
5.17,138,35,6,60,143,1,28,18,1,0,LOW
8.61,130,38,0,283,102,2,80,15,1,0,MED
5.97,112,24,0,164,101,2,45,11,1,0,LOW
11.54,134,44,4,219,126,3,44,15,1,1,HIGH
7.5,140,29,0,105,91,1,43,16,1,0,MED
7.38,98,120,0,268,93,2,72,10,0,0,MED
7.81,137,102,13,422,118,2,71,10,0,1,MED
5.99,117,42,10,371,121,1,26,14,1,1,LOW
8.43,138,80,0,108,126,3,70,13,0,1,MED
4.81,121,68,0,279,149,3,79,12,1,0,LOW
8.97,132,107,0,144,125,2,33,13,0,0,HIGH
6.88,96,39,0,161,112,3,27,14,0,0,MED
12.57,132,102,20,459,107,3,49,11,1,1,HIGH
9.32,134,27,18,467,96,2,49,14,0,1,HIGH
8.64,111,101,17,266,91,2,63,17,0,1,MED
10.44,124,115,16,458,105,2,62,16,0,1,HIGH
13.44,133,103,14,288,122,3,61,17,1,1,HIGH
9.45,107,67,12,430,92,2,35,12,0,1,HIGH
5.3,133,31,1,80,145,2,42,18,1,1,LOW
7.02,130,100,0,306,146,3,42,11,1,0,MED
3.58,142,109,0,111,164,3,72,12,1,0,LOW
13.36,103,73,3,276,72,2,34,15,1,1,HIGH
4.17,123,96,10,71,118,1,69,11,1,1,LOW
3.13,130,62,11,396,130,1,66,14,1,1,LOW
8.77,118,86,7,265,114,3,52,15,0,1,HIGH
8.68,131,25,10,183,104,2,56,15,0,1,HIGH
5.25,131,55,0,26,110,1,79,12,1,1,LOW
10.26,111,75,1,377,108,3,25,12,1,0,HIGH
10.5,122,21,16,488,131,3,30,14,1,1,HIGH
6.53,154,30,0,122,162,2,57,17,0,0,MED
5.98,124,56,11,447,134,2,53,12,0,1,LOW
14.37,95,106,0,256,53,3,52,17,1,0,HIGH
10.71,109,22,10,348,79,3,74,14,0,1,HIGH
10.26,135,100,22,463,122,2,36,14,1,1,HIGH
7.68,126,41,22,403,119,1,42,12,1,1,MED
9.08,152,81,0,191,126,2,54,16,1,0,HIGH
7.8,121,50,0,508,98,2,65,11,0,0,MED
5.58,137,71,0,402,116,2,78,17,1,0,LOW
9.44,131,47,7,90,118,2,47,12,1,1,HIGH
7.9,132,46,4,206,124,2,73,11,1,0,MED
16.27,141,60,19,319,92,3,44,11,1,1,HIGH
6.81,132,61,0,263,125,2,41,12,0,0,MED
6.11,133,88,3,105,119,2,79,12,1,1,MED
5.81,125,111,0,404,107,1,54,15,1,0,LOW
9.64,106,64,10,17,89,2,68,17,1,1,HIGH
3.9,124,65,21,496,151,1,77,13,1,1,LOW
4.95,121,28,19,315,121,2,66,14,1,1,LOW
9.35,98,117,0,76,68,2,63,10,1,0,HIGH
12.85,123,37,15,348,112,3,28,12,1,1,HIGH
5.87,131,73,13,455,132,2,62,17,1,1,LOW
5.32,152,116,0,170,160,2,39,16,1,0,LOW
8.67,142,73,14,238,115,2,73,14,0,1,MED
8.14,135,89,11,245,78,1,79,16,1,1,MED
8.44,128,42,8,328,107,2,35,12,1,1,MED
5.47,108,75,9,61,111,2,67,12,1,1,LOW
6.1,153,63,0,49,124,1,56,16,1,0,MED
4.53,129,42,13,315,130,1,34,13,1,1,LOW
5.57,109,51,10,26,120,2,30,17,0,1,LOW
5.35,130,58,19,366,139,1,33,16,1,1,LOW
12.57,138,108,17,203,128,3,33,14,1,1,HIGH
6.14,139,23,3,37,120,2,55,11,0,1,MED
7.41,162,26,12,368,159,2,40,18,1,1,MED
5.94,100,79,7,284,95,1,50,12,1,1,LOW
9.71,134,37,0,27,120,3,49,16,1,1,HIGH
